eventId,topicId,times
22954391,480642,5
22954391,1097452,2
22954391,17703,3
223988628,10834,2
223988628,56729,1
223988628,637872,1
223988628,17703,1
223988628,1454542,1
223988628,93380,1
224895280,480642,1
224895280,17703,2
224895280,88327,2
224895280,33167,2
212381282,124314,1
144536722,190,1
144536722,21067,4
225094368,53518,1
225094368,7029,1
225094368,480642,1
225094368,1393422,3
225094368,1973,1
kjphnypcbbc,15038,1
kjphnypcbbc,17703,3
kjphnypcbbc,78565,2
kjphnypcbbc,58162,1
kjphnypcbbc,77842,2
42736622,17703,2
42736622,189,3
42736622,1097452,2
60924382,189,2
60924382,21750,1
60924382,17703,6
60924382,15227,2
166270692,190,7
166270692,17703,3
166270692,1097452,2
168168872,17703,1
168168872,57424,1
168168872,140943,8
168168872,1097452,3
168168872,15166,1
dmrxpkyvjbcc,1040,2
dmrxpkyvjbcc,1097452,1
81691472,10358,4
81691472,23718,1
81691472,1475,1
81691472,17703,1
brcpjlytmbnc,17703,3
brcpjlytmbnc,188,3
45018892,827,1
137350802,189,1
137350802,17703,4
137350802,15227,1
162319602,480642,3
65338282,189,1
65338282,17703,2
65338282,15227,3
221278586,17703,1
221278586,39012,2
cdldnypnbhc,17703,1
53620612,71289,1
53620612,17703,3
53620612,189,4
53620612,1097452,2
53620612,17936,15
221060114,89062,2
220112288,1504699,1
220112288,71289,1
220112288,1504750,1
220112288,140943,1
220112288,87614,1
220112288,56729,1
220112288,1454542,6
220112288,1500742,1
220112288,985422,1
220112288,1504751,2
226674038,17703,1
226674038,56729,1
226674038,1097452,1
189316262,10575,1
jpzhjlytnbkc,160268,8
jpzhjlytnbkc,1505112,6
jpzhjlytnbkc,827,1
jpzhjlytnbkc,88327,1
218801520,17703,1
218801520,1097452,1
223310882,10579,1
223310882,1470102,5
15583665,20126,4
15583665,21520,1
223886553,21123,1
221103405,480642,3
221103405,168154,5
85626702,121802,3
85626702,1737,1
85626702,89062,2
217783392,1454542,1
217783392,6490,4
217783392,17703,1
brcpjlytlbzb,17703,3
brcpjlytlbzb,188,3
182492722,17703,3
182492722,15227,1
mrmpdlyvgblc,39012,1
79190462,22467,1
79190462,3737,1
79190462,87614,2
79190462,16,1
79190462,21750,2
79190462,17703,1
79190462,1737,1
79190462,112355,3
6703868,17703,1
222588149,89062,1
222588149,480642,1
222588149,82132,1
221346810,10579,1
220530618,89062,1
220530618,15225,1
220530618,111155,2
173711152,2544,6
173711152,480642,1
173711152,58162,3
214533652,480642,1
214533652,112355,3
214533652,17703,2
214533652,71289,2
214533652,1097452,1
42358822,253331,1
42358822,17703,1
42358822,144841,2
101774462,1064,4
101774462,17703,2
226121379,21123,1
44415112,179941,8
44415112,480642,1
44415112,1737,2
44415112,58162,1
184728662,1481632,2
184728662,71289,1
184728662,89062,1
224280826,10579,1
224280826,480642,2
224280826,81917,1
224280826,10575,1
220738380,44584,1
226808756,22791,2
226808756,17703,2
187085582,637872,5
9009155,189,1
9009155,1064,1
9009155,827,1
9009155,10553,1
9009155,17703,1
9009155,789,1
9009155,19724,1
9009155,455,1
9009155,1040,1
219936863,480642,1
219936863,637872,1
219936863,17703,1
219936863,56729,1
219936863,93380,1
224688104,10358,2
224688104,1475,2
224688104,17703,1
225509157,58162,2
225509157,62223,2
225509157,21750,2
225509157,81917,5
225509157,480642,6
225509157,88327,1
225509157,1506608,1
221474506,106382,1
221474506,7029,1
221474506,17703,1
14709686,10043,11
pwndqyplbvb,189,1
pwndqyplbvb,17703,3
pwndqyplbvb,15227,2
114995742,29661,1
94723022,10579,1
94723022,3737,1
94723022,17703,4
218219462,17703,1
90018092,85,1
90018092,80749,1
90018092,1470102,1
90018092,17703,1
90018092,77842,15
71932862,17703,1
71932862,339691,6
17301766,17703,4
qdcfrkysnbcb,39012,2
173927192,10361,1
173927192,955932,1
173927192,789,1
173927192,18060,6
173927192,61679,2
173927192,1097452,1
173927192,2544,1
173927192,10464,1
173927192,15038,1
173927192,33167,3
173927192,190,7
173927192,61680,7
173927192,480642,2
131511042,17703,1
131511042,10842,1
220026692,1504699,1
220026692,189,2
220026692,1500742,1
220026692,10834,1
220026692,87614,8
220026692,15227,2
220026692,17703,5
220026692,1454542,1
59516932,10358,1
dfbnvhytpbcc,85,3
dfbnvhytpbcc,480642,3
69287792,160268,7
69287792,1137362,8
69287792,1475,3
69287792,16136,1
69287792,88327,1
dfsnlhyspbhb,17703,1
dfsnlhyspbhb,1097452,1
dfsnlhyspbhb,10553,4
111477562,17703,2
114637082,189,1
114637082,17936,6
220687256,10579,1
220687256,1954,1
15335679,17703,2
224255554,1475,1
224255554,7029,3
224255554,15038,1
224255554,88327,1
224255554,1737,1
224258656,17703,1
224258656,71289,2
224258656,188,1
201507442,1064,7
201507442,17703,1
201507442,480642,1
201507442,1097452,1
223411880,7029,1
223411880,71289,1
dfbnvhyspbtb,85,3
dfbnvhyspbtb,480642,3
dcsdmlyvgbkc,17703,3
dcsdmlyvgbkc,188,3
mrmpdlytqbfb,39012,1
mrmpdlytnbmc,39012,1
178766532,1240352,1
178766532,17936,1
178766532,85,2
178766532,18060,2
178766532,16,1
178766532,2544,3
178766532,89062,1
178766532,17703,3
178766532,190,3
178766532,360491,4
178766532,480642,11
nqhvpypdbcc,189,1
nqhvpypdbcc,10834,1
nqhvpypdbcc,17703,1
nqhvpypdbcc,789,3
nqhvpypdbcc,455,1
nqhvpypdbcc,77842,12
219918441,480642,1
219918441,27142,1
219918441,114656,1
219918441,6490,3
mrmpdlytlbkc,39012,1
222341012,21067,1
222341012,17703,1
224919939,17703,1
224919939,134115,1
224919939,921432,1
226587771,1162662,4
226587771,17703,1
132609502,57424,1
221337723,61682,2
221337723,85,1
221337723,18060,9
221337723,61679,2
221337723,27591,2
221337723,89062,1
221337723,17703,1
221337723,33167,2
221337723,190,3
221337723,360491,4
221337723,480642,3
221337723,77842,1
218871693,37550,1
218871693,7029,2
206596312,10834,1
206596312,17703,1
223790505,6490,1
223790505,189,1
223790505,1064,4
223790505,77379,1
223790505,57424,1
223790505,18296,2
224006157,57424,1
224006157,15121,1
222638669,480642,1
222638669,15038,4
222638669,17703,1
172588302,89062,1
5011033,455,7
5011033,17703,4
tmtcglytqbrb,6490,1
tmtcglytqbrb,139517,1
qvffxkyspbgc,85,1
qvffxkyspbgc,480642,2
225565128,17703,1
221967357,827,1
221967357,189,1
221967357,1737,2
220437844,189,1
220437844,17703,2
220437844,15227,1
147278402,189,1
147278402,17703,4
147278402,15227,1
222475791,10358,2
222475791,1475,2
207839202,626,1
207839202,58162,1
207839202,480642,1
207839202,140943,3
207839202,1475,1
207839202,17703,3
207839202,10579,1
182861672,189,1
182861672,80749,1
224337900,22467,1
224337900,10575,3
224337900,17552,1
224337900,89062,1
224337900,17703,1
224337900,1954,1
224337900,10579,1
224337900,88327,2
204132472,10575,1
221462331,7029,1
221462331,39012,1
223656531,10358,1
227032566,6490,1
227032566,10834,2
227032566,1506438,1
227032566,15038,2
227032566,7848,1
227032566,1393422,1
223153003,17703,1
223153003,480642,4
223153003,1097452,1
167546392,89062,1
164216662,1064,3
193446662,17703,1
193446662,17936,2
161724022,93380,1
210795162,17703,1
203206652,160268,9
203206652,1434182,1
203206652,17703,2
203206652,93380,1
222783264,17703,2
222783264,1484812,2
43420012,10043,2
11245597,36026,3
11245597,84070,1
11245597,80749,3
11245597,16225,2
11245597,7029,1
11245597,490192,1
11245597,89386,4
11245597,37550,1
11245597,53518,8
11245597,26906,1
11245597,1737,1
11245597,10581,1
11245597,190,3
11245597,189,5
11245597,480642,1
12016737,20126,2
12016737,21520,4
225984258,179941,1
48751052,58162,1
15596005,20126,1
qkpmpypfbdc,29661,2
qkpmpypfbdc,17703,2
212148052,89062,2
212148052,15992,1
101312962,17703,1
77000012,89386,1
77000012,17936,4
128553002,10361,1
128553002,208041,1
52286902,189,1
52286902,17936,1
52286902,1097452,2
52286902,56729,1
52286902,17703,3
52286902,84070,3
36498902,17703,2
36498902,480642,4
36498902,18060,1
36498902,58162,1
36498902,1097452,1
219803071,80749,1
219803071,7029,4
219803071,10842,1
219803071,78565,1
223122383,114656,1
223122383,1486092,6
223122383,939612,1
dfbnvhytmbzb,85,3
dfbnvhytmbzb,480642,3
223278704,179941,3
44536962,10043,1
44536962,189,1
44536962,637872,2
225721863,71289,2
225721863,480642,2
225721863,89062,2
225721863,17703,1
225721863,18296,2
225721863,190,2
225721863,360491,12
225721863,10579,1
192390682,6490,1
192390682,87614,1
192390682,56729,1
192390682,89062,1
192390682,17703,1
192390682,939612,2
192390682,1486092,1
144852322,85,1
144852322,1097452,1
144852322,61679,6
144852322,21750,1
144852322,17703,3
144852322,18296,1
144852322,190,1
144852322,15038,5
144852322,480642,1
144852322,88327,1
196348122,71289,1
222392241,17703,1
218003172,179941,3
218003172,17703,1
149124242,6490,1
149124242,19373,1
149124242,17703,2
149124242,78565,4
149124242,1954,1
149124242,19724,1
165752242,10842,1
165752242,1470102,1
165752242,17703,1
165752242,1097452,1
165752242,88327,1
202404042,10834,1
202404042,6490,1
202404042,10579,1
202404042,1484812,3
171623962,39012,8
171623962,502772,1
222392248,1505112,2
222392248,17703,1
219494858,10579,1
219494858,17703,1
14003894,189,1
14003894,17703,2
14003894,1097452,2
14003894,15227,1
226339469,10358,2
226339469,1475,2
226339469,17703,1
145044652,1238,1
145044652,10834,1
145044652,134115,1
145044652,10581,1
137513582,121802,1
137513582,7029,2
137513582,921432,2
137513582,502772,1
120336492,1475,1
120336492,985422,2
227058257,1238,1
227058257,16,1
227058257,15227,1
227058257,17703,1
227058257,502772,1
227058257,21123,1
15944793,17703,1
15944793,637872,5
213772542,15992,1
213772542,17703,2
150474542,112355,7
150474542,140943,3
14855660,1237512,1
14855660,189,6
14855660,1097452,2
173061152,1240352,5
173061152,10575,1
173061152,80749,2
173061152,56729,1
173061152,17703,1
173061152,34051,2
173061152,134115,3
173061152,1954,1
52703282,10043,1
52703282,140943,1
52703282,15166,1
52703282,16858,1
tskbflytjbfb,16225,1
tskbflytjbfb,187,1
220028576,17703,1
161081322,17703,1
flpkglytjbwb,6490,3
flpkglytjbwb,502772,2
24756681,7029,4
186868862,827,1
186868862,10043,1
186868862,17703,1
15070554,189,1
15070554,480642,1
15070554,82132,1
15070554,18296,1
40670162,253331,3
40670162,1097452,1
40670162,144841,6
41927802,179941,4
fdznqyrkbtb,20126,1
fdznqyrkbtb,21520,6
fdznqyrkbtb,17703,1
7945764,85,1
7945764,637872,1
7945764,189,2
7945764,17703,5
7945764,1470102,1
226067334,19724,2
226067334,187,2
226067334,21123,1
226067334,188,2
221413244,88327,1
221413244,82132,1
146643112,17703,1
146643112,921432,2
224117061,88170,1
224117061,17703,9
224117061,58162,2
222871938,6490,8
222871938,1238,2
222871938,33167,1
222871938,1097452,1
222871938,18060,1
222871938,89062,3
222871938,85,1
222871938,190,2
222871938,360491,9
222871938,480642,1
225282456,1064,1
225282456,18296,1
93057712,160268,2
93057712,1137362,2
226672734,1137362,4
226672734,160268,1
226672734,88327,2
226672734,1327,1
52564092,16390,6
52564092,17703,2
52564092,1238,1
16021414,6490,1
16021414,189,2
16021414,7029,1
16021414,10553,1
16021414,1137362,1
16021414,37550,1
16021414,18296,1
16021414,33167,1
16021414,190,1
186511512,58162,2
186511512,53518,1
186511512,17703,2
186511512,179941,5
186511512,29661,2
186511512,10579,2
98972942,1475,1
98972942,921432,1
21139801,20126,3
21139801,1040,1
21139801,189,2
21139801,17936,2
191781362,188,1
191781362,7029,3
191781362,39012,1
tmtcglyvgbnb,6490,1
tmtcglyvgbnb,139517,1
103646822,84070,1
103646822,112355,9
103646822,17703,1
61228232,189,5
dwjshcyqhbtb,189,1
dwjshcyqhbtb,17703,3
dwjshcyqhbtb,15227,1
137336992,1506610,11
137336992,189,2
137336992,1470102,1
tmtcglytmbjb,6490,1
tmtcglytmbjb,139517,1
12136784,20126,12
12136784,189,1
12136784,57424,1
12136784,21520,9
223835302,19724,1
223835302,22791,1
223835302,106382,2
kvjhglyvgbhb,20126,1
kvjhglyvgbhb,1097452,1
kvjhglyvgbhb,502772,1
225090132,17921,1
225090132,10575,1
225090132,1505112,12
225090132,1737,1
225090132,1954,1
225090132,480642,2
40787922,89386,2
40787922,78565,4
40787922,15227,1
190378282,17703,2
190378282,455,1
190378282,16390,6
190378282,134115,2
qrztxkysqbjb,139517,2
220921266,1097452,2
220921266,17703,1
220921266,1486092,3
220921266,939612,3
220921266,1393422,1
9975116,827,1
9975116,189,1
226943047,39012,5
226943047,1505112,5
226943047,139517,1
226943047,17703,2
226943047,34051,1
226943047,19724,2
226943047,10579,1
209272242,17703,2
209272242,77379,5
179758442,189,2
179758442,1097452,1
179758442,190,1
179758442,1454542,8
179758442,88327,1
179758442,1504752,1
62735332,189,1
62735332,17703,2
62735332,15227,3
209179602,85,2
209179602,480642,6
209179602,10575,1
4971584,1040,2
4971584,17703,1
4971584,56729,1
12519321,10358,3
dxnqnfyrkbfb,17703,1
dxnqnfyrkbfb,1097452,1
dxnqnfyrkbfb,10553,4
4772985,17703,1
221724779,17703,1
128480712,23718,1
128480712,17703,8
qkpmpynpbnc,29661,2
qkpmpynpbnc,17703,2
86521222,17703,1
86521222,84070,1
225918642,17703,2
225918642,1470102,1
32314072,29661,4
32314072,17703,2
13436761,10358,2
13436761,17703,1
13436761,18296,1
mrmpdlytqbpc,39012,1
tmtcglyvmbgb,6490,1
tmtcglyvmbgb,139517,1
155040062,6490,1
155040062,189,1
226121447,1137362,2
226121447,88327,1
226121447,58162,1
226121447,77842,5
8381433,40788,1
8381433,17703,1
fdznqyqdbbc,20126,1
fdznqyqdbbc,21520,2
fdznqyqdbbc,17703,1
139929392,80749,2
139929392,480642,1
139929392,56729,1
139929392,94589,2
139929392,10581,2
202353752,6490,1
202353752,9429,1
202353752,20578,1
202353752,1470102,1
202353752,17703,1
202353752,18296,2
202353752,19724,1
202353752,480642,3
202353752,88327,1
160282202,1040,1
160282202,1097452,1
141750872,121802,3
141750872,17703,3
58870202,56729,2
224762783,89062,1
222262619,1393422,1
132120152,30843,1
132120152,168401,1
170663282,89386,1
170663282,43599,1
170663282,1097452,2
170663282,40788,1
170663282,17703,1
